v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0031154 Movement.Transportation.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0031642 Justice.ArrestJailDetain.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0031748 Transaction.ExchangeBuySell.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0031841 Transaction.ExchangeBuySell.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0032101 Conflict.Attack.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0032581 Movement.Transportation.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0032888 Contact.Contact.Broadcast
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0033316 Conflict.Attack.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0033636 Transaction.ExchangeBuySell.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0033657 Contact.Contact.Broadcast
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0033757 Conflict.Attack.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0033927 Life.Die.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0033988 Life.Injure.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0034073 Transaction.ExchangeBuySell.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0034214 Personnel.EndPosition.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0034685 Conflict.Attack.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0035140 Conflict.Attack.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0035397 Contact.Contact.Broadcast
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0035664 Personnel.EndPosition.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0036265 Personnel.StartPosition.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0036751 Contact.Contact.Broadcast
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0037085 Movement.Transportation.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0037407 Contact.Contact.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0037961 Movement.Transportation.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0038118 Contact.Contact.Broadcast
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0038754 Conflict.Attack.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0039411 Personnel.EndPosition.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0042509 Disaster.Crash.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0042591 Movement.Transportation.Evacuation
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0043254 Conflict.Attack.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0043434 Personnel.EndPosition.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0043649 Life.Die.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0043990 Transaction.ExchangeBuySell.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0044337 Contact.Contact.Meet
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0044476 Conflict.Attack.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0044543 Movement.Transportation.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0044733 Justice.ArrestJailDetain.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0044847 Life.Die.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0045613 Life.Injure.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0045962 Movement.Transportation.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0046051 ArtifactExistence.ManufactureAssemble.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0046477 Transaction.ExchangeBuySell.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0046543 Movement.Transportation.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0046847 Contact.Contact.Broadcast
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0047035 Contact.Contact.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0047147 Conflict.Attack.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0047886 Justice.ArrestJailDetain.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0047942 Justice.ArrestJailDetain.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0048172 Movement.Transportation.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0049074 Transaction.ExchangeBuySell.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0049109 GenericCrime.GenericCrime.GenericCrime
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0049719 Movement.Transportation.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0049899 Personnel.EndPosition.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0050389 Contact.Contact.Broadcast
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0050598 GenericCrime.GenericCrime.GenericCrime
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0047924 Contact.Contact.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0020762 Life.Die.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0045517 Conflict.Attack.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0014211 Justice.ArrestJailDetain.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0044223 Transaction.ExchangeBuySell.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0013374 Personnel.EndPosition.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0003272 GenericCrime.GenericCrime.GenericCrime
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0049826 Justice.ArrestJailDetain.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0041151 Personnel.EndPosition.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0027982 Contact.Contact.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0037086 Contact.Contact.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0040665 Movement.Transportation.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0007393 Personnel.EndPosition.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0017260 Justice.ArrestJailDetain.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0024063 Personnel.EndPosition.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0042598 Conflict.Attack.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0015728 Movement.Transportation.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0009344 Contact.Contact.Broadcast
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0001927 Movement.Transportation.Evacuation
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0027829 Movement.Transportation.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0020890 Movement.Transportation.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0018443 Conflict.Demonstrate.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0010263 Conflict.Attack.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0020589 Movement.Transportation.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0045525 Contact.Contact.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0050383 Contact.Contact.Broadcast
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0015630 Contact.Contact.Broadcast
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0031770 Movement.Transportation.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0009609 Movement.Transportation.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0030485 Life.Die.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0025231 Transaction.ExchangeBuySell.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0030271 Movement.Transportation.PreventPassage
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0049597 Movement.Transportation.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0022984 Movement.Transportation.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0050669 Contact.Contact.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0047111 Contact.Contact.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0002504 Transaction.ExchangeBuySell.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000282 Conflict.Demonstrate.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0017099 Movement.Transportation.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0031660 Movement.Transportation.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0047641 Movement.Transportation.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0027001 Transaction.ExchangeBuySell.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0049896 Life.Die.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0020081 Movement.Transportation.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0032084 Movement.Transportation.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0049956 Movement.Transportation.Evacuation
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0002439 Movement.Transportation.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0037294 Contact.ThreatenCoerce.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0015353 Life.Die.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0028171 Personnel.EndPosition.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0037234 Personnel.EndPosition.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0010253 Justice.ReleaseParole.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0016514 Personnel.EndPosition.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0014204 Conflict.Attack.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0008469 Transaction.ExchangeBuySell.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0010098 Conflict.Attack.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0047156 Conflict.Attack.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0003202 Personnel.EndPosition.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0035183 Movement.Transportation.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0038720 Contact.Contact.Broadcast
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0007338 Movement.Transportation.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0006137 Justice.Convict.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0038220 Control.ImpedeInterfereWith.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0043802 Movement.Transportation.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0026851 Movement.Transportation.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0021396 Movement.Transportation.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000040 Conflict.Attack.DetonateExplode
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0013304 Justice.ArrestJailDetain.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0049279 Contact.Contact.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0036238 Justice.ArrestJailDetain.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0020990 Contact.Contact.Broadcast
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0009623 Movement.Transportation.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0006170 Life.Injure.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0002331 Personnel.StartPosition.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0049971 Justice.ArrestJailDetain.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0008227 Justice.ChargeIndict.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0024518 Justice.ArrestJailDetain.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0040746 Contact.Contact.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0027989 Justice.ArrestJailDetain.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0016258 Justice.ReleaseParole.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0050174 Contact.Contact.Broadcast
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0028908 Justice.ArrestJailDetain.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0005149 Justice.ChargeIndict.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0040642 Contact.Contact.Broadcast
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0042912 Contact.Contact.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0034848 Life.Injure.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0010770 Life.Injure.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0047718 Movement.Transportation.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0023242 Contact.Contact.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0050519 Contact.Contact.Broadcast
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0020797 Life.Injure.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0000732 Personnel.StartPosition.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0013318 Justice.ChargeIndict.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0047311 Contact.Contact.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0007040 Transaction.ExchangeBuySell.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0029143 Conflict.Attack.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0007981 Life.Injure.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0003025 Life.Injure.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0030081 Life.Injure.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0032067 Contact.Contact.Broadcast
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0019665 Contact.Contact.Correspondence
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0031494 Contact.Contact.Broadcast
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0022078 Life.Injure.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0036862 Life.Injure.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0033449 Movement.Transportation.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0002883 Conflict.Attack.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0019147 Justice.ArrestJailDetain.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0033043 Conflict.Attack.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0039656 Conflict.Attack.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0008489 Justice.ArrestJailDetain.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0044482 Life.Injure.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0048556 Life.Injure.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0028767 Movement.Transportation.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0023086 Life.Injure.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0034825 Movement.Transportation.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0047456 Justice.ArrestJailDetain.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0019956 Life.Injure.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0033563 Life.Injure.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0046200 Contact.Contact.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0038060 Movement.Transportation.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0034519 Personnel.EndPosition.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0005452 Movement.Transportation.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0039301 Personnel.EndPosition.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0022572 Justice.ReleaseParole.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0006524 Transaction.ExchangeBuySell.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0049473 Justice.ArrestJailDetain.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0030933 Movement.Transportation.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0024759 Movement.Transportation.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0046644 Justice.ArrestJailDetain.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0006582 ArtifactExistence.DamageDestroyDisableDismantle.Destroy
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0016346 Life.Injure.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0032020 Justice.ArrestJailDetain.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0043549 Movement.Transportation.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0007185 Justice.ArrestJailDetain.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0044092 Life.Injure.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0010904 Life.Injure.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0016309 Contact.ThreatenCoerce.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0009090 Conflict.Attack.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0023726 Movement.Transportation.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0038641 Life.Injure.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0048463 Life.Injure.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0035225 Justice.ArrestJailDetain.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0045921 Conflict.Attack.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0009249 Justice.ArrestJailDetain.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0008041 Contact.Contact.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0030433 Justice.ChargeIndict.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0035298 Movement.Transportation.Unspecified
v caci:Schemas/Instantiated/cluster_6/Steps/EN_Event_0001041 GenericCrime.GenericCrime.GenericCrime
