t # 0
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0000621 Conflict.Attack.Unspecified
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0001292 Justice.ArrestJailDetain.Unspecified
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0014720 Life.Die.Unspecified
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0018065 Conflict.Attack.Unspecified
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0030358 Conflict.Attack.Unspecified
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0044228 Conflict.Attack.Unspecified
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0049107 Conflict.Attack.Unspecified
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0021990 Conflict.Attack.Unspecified
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0046292 Conflict.Attack.Unspecified
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0042669 Conflict.Attack.Unspecified
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0027865 Conflict.Attack.Unspecified
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0000034 Conflict.Attack.DetonateExplode
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0044540 Conflict.Attack.Unspecified
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0041164 Contact.Contact.Meet
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0000984 Justice.Convict.Unspecified
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0039773 Life.Injure.Unspecified
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0026718 Life.Die.Unspecified
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0025361 Life.Die.Unspecified
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0044425 Life.Injure.Unspecified
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0007708 Life.Injure.Unspecified
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0030266 Life.Injure.Unspecified
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0037309 Justice.TrialHearing.Unspecified
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0004630 Life.Injure.Unspecified
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0038875 Life.Injure.Unspecified
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0030686 Justice.Convict.Unspecified
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0016721 Life.Injure.Unspecified
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0023931 Life.Injure.Unspecified
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0044163 Life.Injure.Unspecified
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0000255 Justice.ArrestJailDetain.Unspecified
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0010808 Movement.Transportation.Evacuation
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0002019 Justice.TrialHearing.Unspecified
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0048258 Justice.Convict.Unspecified
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0041813 Justice.ArrestJailDetain.Unspecified
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0044089 Justice.ArrestJailDetain.Unspecified
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0034164 Life.Injure.Unspecified
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0036971 Justice.ArrestJailDetain.Unspecified
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0017516 Justice.ChargeIndict.Unspecified
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0042518 Justice.TrialHearing.Unspecified
e caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0018065 caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0021990 Temporal_Order
e caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0030358 caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0044540 Temporal_Order
e caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0030358 caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0046292 Temporal_Order
e caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0030358 caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0042669 Temporal_Order
e caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0044228 caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0000034 Temporal_Order
e caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0044228 caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0034164 Temporal_Order
e caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0044228 caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0044089 Temporal_Order
e caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0044228 caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0000255 Temporal_Order
e caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0044228 caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0048258 Temporal_Order
e caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0044228 caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0037309 Temporal_Order
e caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0044228 caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0007708 Temporal_Order
e caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0049107 caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0000034 Temporal_Order
e caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0021990 caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0027865 Temporal_Order
e caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0046292 caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0000034 Temporal_Order
e caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0042669 caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0044540 Temporal_Order
e caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0000034 caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0000255 Temporal_Order
e caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0000034 caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0002019 Temporal_Order
e caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0000034 caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0010808 Temporal_Order
e caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0000034 caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0034164 Temporal_Order
e caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0000034 caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0044089 Temporal_Order
e caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0000034 caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0041164 Temporal_Order
e caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0000034 caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0000984 Temporal_Order
e caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0000034 caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0039773 Temporal_Order
e caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0000034 caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0030686 Temporal_Order
e caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0000034 caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0044163 Temporal_Order
e caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0000034 caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0026718 Temporal_Order
e caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0000034 caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0025361 Temporal_Order
e caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0000034 caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0036971 Temporal_Order
e caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0000034 caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0042518 Temporal_Order
e caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0000034 caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0044425 Temporal_Order
e caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0000034 caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0023931 Temporal_Order
e caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0000034 caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0048258 Temporal_Order
e caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0000034 caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0007708 Temporal_Order
e caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0000034 caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0017516 Temporal_Order
e caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0000034 caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0030266 Temporal_Order
e caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0000034 caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0037309 Temporal_Order
e caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0000034 caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0041813 Temporal_Order
e caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0000034 caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0004630 Temporal_Order
e caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0000034 caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0016721 Temporal_Order
e caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0000034 caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0038875 Temporal_Order
e caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0041164 caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0000255 Temporal_Order
e caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0041164 caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0036971 Temporal_Order
e caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0000984 caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0000255 Temporal_Order
e caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0000984 caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0042518 Temporal_Order
e caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0000984 caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0036971 Temporal_Order
e caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0000984 caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0017516 Temporal_Order
e caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0000984 caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0002019 Temporal_Order
e caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0000984 caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0041813 Temporal_Order
e caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0039773 caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0030686 Temporal_Order
e caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0026718 caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0016721 Temporal_Order
e caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0025361 caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0010808 Temporal_Order
e caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0025361 caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0023931 Temporal_Order
e caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0007708 caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0044089 Temporal_Order
e caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0007708 caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0000255 Temporal_Order
e caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0007708 caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0044163 Temporal_Order
e caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0007708 caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0048258 Temporal_Order
e caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0037309 caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0044089 Temporal_Order
e caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0037309 caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0000255 Temporal_Order
e caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0037309 caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0048258 Temporal_Order
e caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0037309 caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0034164 Temporal_Order
e caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0004630 caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0034164 Temporal_Order
e caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0038875 caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0034164 Temporal_Order
e caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0023931 caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0010808 Temporal_Order
e caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0000255 caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0036971 Temporal_Order
e caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0000255 caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0002019 Temporal_Order
e caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0000255 caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0044089 Temporal_Order
e caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0000255 caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0042518 Temporal_Order
e caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0000255 caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0017516 Temporal_Order
e caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0000255 caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0034164 Temporal_Order
e caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0000255 caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0048258 Temporal_Order
e caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0000255 caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0041813 Temporal_Order
e caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0002019 caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0042518 Temporal_Order
e caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0048258 caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0044089 Temporal_Order
e caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0048258 caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0034164 Temporal_Order
e caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0041813 caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0042518 Temporal_Order
e caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0044089 caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0036971 Temporal_Order
e caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0036971 caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0042518 Temporal_Order
e caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0036971 caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0017516 Temporal_Order
e caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0017516 caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0042518 Temporal_Order
t # 1
v caci:Schemas/Instantiated/cluster_12/Steps/EN_Event_0005087 Conflict.Attack.Unspecified
v caci:Schemas/Instantiated/cluster_12/Steps/EN_Event_0006201 GenericCrime.GenericCrime.GenericCrime
v caci:Schemas/Instantiated/cluster_12/Steps/EN_Event_0007220 Personnel.StartPosition.Unspecified
v caci:Schemas/Instantiated/cluster_12/Steps/EN_Event_0007653 Conflict.Attack.Unspecified
v caci:Schemas/Instantiated/cluster_12/Steps/EN_Event_0011150 Conflict.Attack.Unspecified
v caci:Schemas/Instantiated/cluster_12/Steps/EN_Event_0011538 Conflict.Attack.Unspecified
v caci:Schemas/Instantiated/cluster_12/Steps/EN_Event_0013657 Conflict.Attack.Unspecified
v caci:Schemas/Instantiated/cluster_12/Steps/EN_Event_0014110 Personnel.StartPosition.Unspecified
v caci:Schemas/Instantiated/cluster_12/Steps/EN_Event_0014215 Life.Die.Unspecified
v caci:Schemas/Instantiated/cluster_12/Steps/EN_Event_0019193 Justice.Convict.Unspecified
v caci:Schemas/Instantiated/cluster_12/Steps/EN_Event_0019226 Conflict.Attack.Unspecified
v caci:Schemas/Instantiated/cluster_12/Steps/EN_Event_0019507 Contact.Contact.Meet
v caci:Schemas/Instantiated/cluster_12/Steps/EN_Event_0023515 Transaction.ExchangeBuySell.Unspecified
v caci:Schemas/Instantiated/cluster_12/Steps/EN_Event_0024359 Life.Die.Unspecified
v caci:Schemas/Instantiated/cluster_12/Steps/EN_Event_0024798 Movement.Transportation.Unspecified
v caci:Schemas/Instantiated/cluster_12/Steps/EN_Event_0025585 Personnel.StartPosition.Unspecified
v caci:Schemas/Instantiated/cluster_12/Steps/EN_Event_0026313 Contact.Contact.Unspecified
v caci:Schemas/Instantiated/cluster_12/Steps/EN_Event_0026717 Movement.Transportation.Unspecified
v caci:Schemas/Instantiated/cluster_12/Steps/EN_Event_0027887 Contact.Contact.Correspondence
v caci:Schemas/Instantiated/cluster_12/Steps/EN_Event_0028270 Conflict.Attack.Unspecified
v caci:Schemas/Instantiated/cluster_12/Steps/EN_Event_0028900 Movement.Transportation.Unspecified
v caci:Schemas/Instantiated/cluster_12/Steps/EN_Event_0029760 Movement.Transportation.Unspecified
v caci:Schemas/Instantiated/cluster_12/Steps/EN_Event_0029845 Justice.ArrestJailDetain.Unspecified
v caci:Schemas/Instantiated/cluster_12/Steps/EN_Event_0030835 Conflict.Attack.Unspecified
v caci:Schemas/Instantiated/cluster_12/Steps/EN_Event_0031128 Conflict.Attack.Unspecified
v caci:Schemas/Instantiated/cluster_12/Steps/EN_Event_0031334 Life.Die.Unspecified
v caci:Schemas/Instantiated/cluster_12/Steps/EN_Event_0031669 GenericCrime.GenericCrime.GenericCrime
v caci:Schemas/Instantiated/cluster_12/Steps/EN_Event_0031684 Conflict.Attack.Unspecified
v caci:Schemas/Instantiated/cluster_12/Steps/EN_Event_0034096 Conflict.Attack.Unspecified
v caci:Schemas/Instantiated/cluster_12/Steps/EN_Event_0034280 Conflict.Attack.Unspecified
v caci:Schemas/Instantiated/cluster_12/Steps/EN_Event_0035043 Life.Die.Unspecified
v caci:Schemas/Instantiated/cluster_12/Steps/EN_Event_0035500 Life.Injure.Unspecified
v caci:Schemas/Instantiated/cluster_12/Steps/EN_Event_0035908 Justice.ReleaseParole.Unspecified
v caci:Schemas/Instantiated/cluster_12/Steps/EN_Event_0035920 Life.Die.Unspecified
v caci:Schemas/Instantiated/cluster_12/Steps/EN_Event_0036860 Contact.Contact.Broadcast
v caci:Schemas/Instantiated/cluster_12/Steps/EN_Event_0038566 Conflict.Attack.Unspecified
v caci:Schemas/Instantiated/cluster_12/Steps/EN_Event_0039306 Life.Injure.Unspecified
v caci:Schemas/Instantiated/cluster_12/Steps/EN_Event_0042110 Contact.Contact.Meet
v caci:Schemas/Instantiated/cluster_12/Steps/EN_Event_0042470 Movement.Transportation.Unspecified
v caci:Schemas/Instantiated/cluster_12/Steps/EN_Event_0045192 Conflict.Attack.Unspecified
v caci:Schemas/Instantiated/cluster_12/Steps/EN_Event_0045639 Conflict.Attack.Unspecified
v caci:Schemas/Instantiated/cluster_12/Steps/EN_Event_0046274 Conflict.Attack.Unspecified
v caci:Schemas/Instantiated/cluster_12/Steps/EN_Event_0048622 Conflict.Attack.Unspecified
v caci:Schemas/Instantiated/cluster_12/Steps/EN_Event_0049952 Life.Die.Unspecified
