t # 0
v 0 0
v 1 1
v 2 2
v 3 0
v 4 0
v 5 0
v 6 0
v 7 0
v 8 0
v 9 0
v 10 0
v 11 3
v 12 0
v 13 4
v 14 5
v 15 6
v 16 2
v 17 2
v 18 6
v 19 6
v 20 6
v 21 7
v 22 6
v 23 6
v 24 5
v 25 6
v 26 6
v 27 6
v 28 1
v 29 8
v 30 7
v 31 5
v 32 1
v 33 1
v 34 6
v 35 1
v 36 9
v 37 7
e 111 178 0
e 111 165 0
e 111 131 0
e 111 155 0
e 111 174 0
e 111 162 0
e 111 132 0
e 111 133 0
e 111 156 0
e 112 147 0
e 112 134 0
e 114 135 0
e 114 136 0
e 115 148 0
e 115 166 0
e 115 168 0
e 115 164 0
e 115 159 0
e 115 137 0
e 120 138 0
e 120 150 0
e 121 151 0
e 121 161 0
e 121 139 0
e 123 140 0
e 123 152 0
e 123 141 0
e 124 158 0
e 125 153 0
e 125 167 0
e 125 142 0
e 126 143 0
e 127 144 0
e 128 152 0
e 130 167 0
e 130 179 0
e 130 176 0
e 130 177 0
e 130 180 0
e 130 162 0
e 130 145 0
e 130 169 0
e 130 178 0
e 130 146 0
e 130 165 0
e 132 167 0
e 132 177 0
e 132 176 0
e 132 179 0
e 132 169 0
e 132 180 0
e 132 146 0
e 132 162 0
e 133 177 0
e 133 176 0
e 133 178 0
e 133 179 0
e 133 180 0
e 133 167 0
e 133 165 0
e 133 174 0
e 134 147 0
e 134 170 0
e 134 180 0
e 134 181 0
e 134 157 0
e 134 182 0
e 137 168 0
e 137 166 0
e 137 164 0
e 137 159 0
e 137 148 0
e 137 149 0
e 138 150 0
e 139 151 0
e 139 160 0
e 140 152 0
e 142 153 0
e 142 167 0
e 143 154 0
e 145 155 0
e 146 167 0
e 146 170 0
e 146 162 0
e 146 156 0
e 147 170 0
e 147 180 0
e 147 181 0
e 147 157 0
e 147 182 0
e 148 158 0
e 148 166 0
e 148 168 0
e 148 164 0
e 149 159 0
e 151 160 0
e 151 161 0
e 156 169 0
e 156 174 0
e 156 177 0
e 156 176 0
e 156 179 0
e 156 180 0
e 156 167 0
e 156 178 0
e 156 162 0
e 157 170 0
e 157 182 0
e 157 181 0
e 158 163 0
e 159 168 0
e 159 166 0
e 159 164 0
e 160 173 0
e 161 173 0
e 162 167 0
e 162 177 0
e 162 176 0
e 162 179 0
e 162 180 0
e 162 169 0
e 162 174 0
e 162 178 0
e 162 165 0
e 164 168 0
e 164 166 0
e 165 177 0
e 165 178 0
e 165 167 0
e 165 169 0
e 165 179 0
e 165 174 0
e 165 176 0
e 165 180 0
e 166 168 0
e 167 179 0
e 167 169 0
e 167 170 0
e 167 177 0
e 167 176 0
e 167 178 0
e 167 180 0
e 167 174 0
e 169 177 0
e 169 176 0
e 169 178 0
e 169 179 0
e 169 180 0
e 169 171 0
e 170 180 0
e 170 181 0
e 170 182 0
e 170 172 0
e 170 173 0
e 171 174 0
e 174 177 0
e 174 179 0
e 174 180 0
e 174 175 0
e 174 178 0
e 174 176 0
e 176 179 0
e 176 177 0
e 176 180 0
e 176 178 0
e 177 179 0
e 177 180 0
e 177 178 0
e 178 179 0
e 178 180 0
e 179 180 0
e 180 182 0
e 180 181 0
e 181 182 0
t # 2
v 0 12
v 1 0
v 2 12
v 3 2
v 4 11
v 5 17
v 6 0
v 7 13
v 8 2
v 9 13
v 10 13
v 11 3
v 12 0
v 13 11
v 14 14
v 15 2
v 16 25
v 17 0
v 18 0
v 19 6
v 20 13
v 21 18
v 22 15
v 23 12
v 24 12
v 25 13
v 26 0
v 27 0
v 28 17
v 29 3
v 30 17
v 31 0
v 32 0
v 33 13
v 34 12
v 35 26
v 36 1
v 37 0
v 38 13
v 39 13
v 40 0
v 41 2
v 42 13
v 43 3
v 44 2
v 45 18
v 46 11
v 47 0
v 48 13
v 49 2
v 50 23
v 51 2
v 52 13
v 53 13
v 54 10
v 55 15
v 56 18
v 57 14
v 58 0
v 59 23
v 60 13
v 61 15
v 62 1
v 63 1
v 64 13
v 65 0
v 66 13
v 67 1
v 68 1
v 69 0
v 70 3
v 71 2
v 72 14
v 73 2
v 74 0
v 75 0
v 76 1
v 77 0
v 78 23
v 79 18
v 80 15
v 81 23
v 82 27
v 83 0
v 84 13
v 85 17
v 86 28
v 87 13
v 88 18
v 89 28
v 90 13
v 91 27
v 92 0
v 93 1
v 94 2
v 95 26
v 96 10
v 97 2
v 98 1
v 99 10
v 100 6
v 101 0
v 102 3
v 103 0
v 104 13
v 105 13
v 106 2
v 107 4
v 108 15
v 109 0
v 110 13
v 111 13
v 112 0
v 113 29
v 114 0
v 115 0
v 116 0
v 117 18
v 118 10
v 119 2
v 120 11
v 121 1
v 122 2
v 123 10
v 124 4
v 125 12
v 126 0
v 127 13
v 128 3
v 129 0
v 130 12
v 131 0
v 132 0
v 133 30
v 134 8
v 135 0
v 136 14
v 137 13
v 138 13
v 139 4
v 140 24
v 141 0
v 142 13
v 143 9
v 144 11
v 145 2
v 146 15
v 147 26
v 148 3
v 149 13
v 150 18
v 151 13
v 152 0
v 153 4
v 154 0
v 155 2
v 156 0
v 157 3
v 158 0
v 159 0
v 160 13
v 161 2
v 162 13
v 163 6
v 164 2
v 165 15
v 166 18
v 167 14
v 168 4
v 169 31
v 170 12
v 171 0
v 172 26
v 173 13
v 174 13
v 175 0
v 176 8
v 177 1
v 178 0
v 179 13
v 180 2
v 181 19
v 182 2
v 183 32
v 184 4
v 185 2
v 186 2
v 187 13
v 188 13
v 189 13
v 190 12
v 191 26
v 192 0
v 193 2
v 194 0
v 195 15
v 196 13
v 197 2
v 198 13
v 199 2
v 200 0
v 201 12
v 202 31
v 203 2
v 204 12
v 205 2
v 206 13
v 207 3
v 208 13
v 209 2
v 210 9
v 211 9
v 212 1
v 213 2
v 214 6
v 215 13
v 216 0
v 217 18
v 218 6
v 219 6
v 220 14
v 221 6
v 222 6
v 223 15
v 224 13
v 225 6
v 226 15
v 227 0
v 228 13
v 229 25
v 230 5
v 231 9
v 232 0
v 233 0
v 234 1
v 235 25
v 236 13
v 237 6
v 238 14
v 239 6
v 240 15
v 241 6
v 242 9
v 243 17
v 244 15
v 245 21
v 246 6
v 247 5
v 248 13
v 249 15
v 250 11
v 251 6
v 252 14
v 253 2
v 254 28
v 255 3
v 256 15
v 257 12
v 258 0
v 259 5
v 260 2
v 261 2
v 262 13
v 263 5
v 264 13
v 265 15
v 266 14
v 267 1
v 268 0
v 269 16
v 270 1
v 271 9
v 272 6
v 273 13
v 274 0
v 275 3
v 276 33
v 277 9
v 278 1
v 279 9
v 280 13
v 281 12
v 282 0
v 283 1
v 284 0
v 285 8
v 286 5
v 287 13
v 288 0
v 289 2
v 290 12
v 291 9
v 292 1
v 293 0
v 294 13
v 295 2
v 296 15
v 297 9
v 298 6
v 299 6
v 300 14
v 301 14
v 302 12
v 303 0
v 304 0
v 305 6
v 306 5
v 307 13
v 308 6
v 309 13
v 310 0
v 311 13
v 312 2
v 313 15
v 314 0
v 315 24
v 316 24
v 317 7
v 318 18
v 319 2
v 320 6
v 321 6
v 322 0
v 323 24
v 324 24
v 325 0
v 326 14
v 327 5
v 328 34
v 329 2
v 330 9
v 331 17
v 332 13
v 333 13
v 334 6
v 335 2
v 336 4
v 337 2
v 338 10
v 339 2
v 340 9
v 341 2
v 342 16
v 343 22
v 344 3
v 345 0
v 346 0
v 347 16
v 348 21
v 349 1
v 350 1
v 351 1
v 352 18
v 353 15
v 354 5
v 355 6
v 356 20
v 357 13
v 358 28
v 359 5
v 360 6
v 361 13
v 362 5
v 363 7
v 364 6
v 365 1
v 366 3
v 367 0
v 368 9
v 369 9
v 370 2
v 371 5
v 372 24
v 373 2
v 374 13
v 375 10
v 376 13
v 377 23
v 378 15
v 379 5
v 380 14
v 381 9
v 382 6
v 383 14
v 384 13
v 385 9
v 386 12
v 387 0
v 388 14
v 389 13
v 390 1
v 391 4
v 392 4
v 393 5
v 394 9
v 395 1
v 396 12
v 397 4
v 398 15
v 399 2
v 400 21
v 401 21
v 402 1
v 403 1
v 404 11
v 405 14
v 406 6
v 407 20
v 408 13
v 409 5
v 410 13
v 411 13
v 412 9
v 413 6
v 414 2
v 415 6
v 416 1
v 417 13
v 418 0
v 419 7
v 420 15
v 421 5
v 422 15
v 423 5
v 424 0
v 425 9
v 426 6
v 427 22
v 428 15
v 429 9
v 430 9
v 431 2
v 432 5
v 433 9
v 434 5
v 435 9
v 436 18
v 437 0
v 438 6
v 439 5
v 440 21
v 441 22
v 442 24
v 443 7
v 444 16
v 445 13
v 446 9
v 447 4
v 448 13
v 449 1
v 450 14
v 451 9
v 452 31
v 453 15
v 454 13
v 455 1
v 456 23
v 457 15
v 458 15
v 459 5
v 460 5
v 461 21
v 462 21
v 463 21
v 464 14
v 465 14
v 466 8
v 467 15
v 468 22
v 469 6
v 470 6
v 471 14
v 472 14
v 473 14
v 474 13
v 475 14
v 476 4
v 477 14
v 478 14
v 479 13
v 480 4
v 481 5
v 482 5
v 483 4
v 484 9
v 485 9
v 486 1
v 487 7
v 488 9
v 489 9
v 490 5
v 491 9
v 492 9
v 493 9
v 494 9
v 495 9
v 496 9
v 497 7
v 498 2
v 499 11
v 500 16
v 501 9
v 502 5
v 503 5
v 504 9
v 505 1
v 506 1
v 507 9
v 508 5
v 509 1
v 510 1
v 511 2
v 512 5
v 513 13
v 514 24
v 515 13
v 516 9
v 517 16
v 518 2
v 519 21
v 520 16
v 521 16
v 522 9
v 523 12
v 524 14
v 525 1
v 526 9
v 527 7
v 528 13
v 529 9
v 530 1
v 531 9
v 532 9
v 533 5
v 534 14
v 535 24
v 536 27
v 537 24
v 538 12
v 539 1
v 540 9
v 541 16
v 542 1
v 543 13
v 544 24
v 545 17
v 546 5
v 547 9
v 548 7
e 0 207 0
e 0 208 0
e 0 447 0
e 1 484 0
e 1 433 0
e 1 485 0
e 1 486 0
e 1 481 0
e 1 482 0
e 1 421 0
e 1 207 0
e 2 486 0
e 2 207 0
e 2 381 0
e 2 314 0
e 2 305 0
e 3 132 0
e 4 133 0
e 5 468 0
e 5 207 0
e 6 134 0
e 6 207 0
e 6 466 0
e 6 468 0
e 6 252 0
e 6 447 0
e 6 135 0
e 7 536 0
e 7 447 0
e 7 136 0
e 7 179 0
e 9 447 0
e 9 457 0
e 9 458 0
e 9 207 0
e 9 214 0
e 9 222 0
e 9 357 0
e 9 361 0
e 9 408 0
e 9 410 0
e 10 207 0
e 10 217 0
e 10 468 0
e 10 137 0
e 10 138 0
e 13 486 0
e 13 175 0
e 13 196 0
e 13 176 0
e 13 139 0
e 15 140 0
e 15 286 0
e 17 347 0
e 17 212 0
e 17 207 0
e 18 480 0
e 18 193 0
e 18 141 0
e 18 207 0
e 19 537 0
e 19 207 0
e 19 412 0
e 20 207 0
e 20 235 0
e 20 403 0
e 20 142 0
e 20 143 0
e 21 207 0
e 23 144 0
e 24 207 0
e 24 302 0
e 25 207 0
e 25 213 0
e 25 155 0
e 26 207 0
e 27 207 0
e 29 440 0
e 29 207 0
e 29 373 0
e 29 416 0
e 29 287 0
e 31 207 0
e 32 207 0
e 33 207 0
e 34 207 0
e 34 447 0
e 34 440 0
e 35 207 0
e 37 207 0
e 37 437 0
e 37 283 0
e 37 441 0
e 37 431 0
e 37 370 0
e 37 329 0
e 37 415 0
e 37 145 0
e 37 146 0
e 38 311 0
e 38 207 0
e 38 147 0
e 39 537 0
e 39 447 0
e 40 148 0
e 42 207 0
e 42 366 0
e 42 275 0
e 43 207 0
e 44 207 0
e 44 524 0
e 44 269 0
e 44 515 0
e 44 486 0
e 45 207 0
e 48 207 0
e 48 447 0
e 48 486 0
e 48 508 0
e 48 536 0
e 48 540 0
e 48 149 0
e 48 179 0
e 49 207 0
e 49 150 0
e 51 207 0
e 51 364 0
e 51 412 0
e 51 264 0
e 51 537 0
e 51 430 0
e 51 413 0
e 52 207 0
e 52 250 0
e 52 466 0
e 53 151 0
e 54 446 0
e 54 332 0
e 54 447 0
e 54 440 0
e 54 207 0
e 55 467 0
e 55 453 0
e 57 207 0
e 58 440 0
e 58 207 0
e 58 447 0
e 58 245 0
e 59 468 0
e 60 537 0
e 60 536 0
e 60 322 0
e 62 342 0
e 62 207 0
e 62 170 0
e 63 207 0
e 63 522 0
e 63 447 0
e 64 207 0
e 65 207 0
e 66 207 0
e 67 537 0
e 68 170 0
e 69 207 0
e 70 207 0
e 70 537 0
e 71 207 0
e 71 355 0
e 71 412 0
e 71 248 0
e 71 537 0
e 71 429 0
e 71 406 0
e 71 152 0
e 72 207 0
e 73 207 0
e 75 447 0
e 75 153 0
e 77 447 0
e 77 411 0
e 77 207 0
e 77 520 0
e 77 486 0
e 77 180 0
e 77 197 0
e 77 154 0
e 81 468 0
e 82 542 0
e 82 362 0
e 84 207 0
e 84 209 0
e 84 155 0
e 87 486 0
e 88 537 0
e 90 486 0
e 90 537 0
e 90 536 0
e 90 207 0
e 90 447 0
e 90 322 0
e 91 542 0
e 91 354 0
e 93 472 0
e 93 350 0
e 94 207 0
e 96 231 0
e 96 207 0
e 97 207 0
e 97 214 0
e 97 168 0
e 98 473 0
e 98 292 0
e 99 210 0
e 99 207 0
e 100 438 0
e 100 207 0
e 100 284 0
e 100 431 0
e 101 156 0
e 102 181 0
e 102 486 0
e 102 198 0
e 102 157 0
e 103 447 0
e 103 411 0
e 103 207 0
e 103 521 0
e 103 486 0
e 103 182 0
e 103 199 0
e 103 158 0
e 104 159 0
e 105 233 0
e 105 207 0
e 105 302 0
e 105 160 0
e 106 226 0
e 106 207 0
e 107 486 0
e 107 492 0
e 107 516 0
e 107 489 0
e 108 395 0
e 108 541 0
e 108 486 0
e 108 207 0
e 109 366 0
e 109 275 0
e 109 207 0
e 109 296 0
e 109 420 0
e 109 194 0
e 110 207 0
e 110 183 0
e 110 161 0
e 111 162 0
e 111 207 0
e 111 163 0
e 112 207 0
e 113 447 0
e 113 454 0
e 113 478 0
e 113 466 0
e 113 207 0
e 114 207 0
e 114 164 0
e 115 207 0
e 116 165 0
e 116 207 0
e 117 184 0
e 117 166 0
e 117 207 0
e 118 167 0
e 119 207 0
e 119 222 0
e 119 168 0
e 120 207 0
e 120 528 0
e 120 285 0
e 120 169 0
e 121 471 0
e 121 278 0
e 122 425 0
e 122 486 0
e 122 435 0
e 122 397 0
e 123 170 0
e 123 519 0
e 124 546 0
e 124 548 0
e 124 537 0
e 124 280 0
e 124 374 0
e 126 480 0
e 126 193 0
e 126 171 0
e 126 207 0
e 127 207 0
e 127 328 0
e 127 431 0
e 128 207 0
e 128 172 0
e 128 173 0
e 129 174 0
e 129 447 0
e 129 437 0
e 129 207 0
e 129 466 0
e 129 452 0
e 129 477 0
e 131 207 0
e 131 385 0
e 131 312 0
e 132 207 0
e 134 466 0
e 134 468 0
e 134 447 0
e 134 207 0
e 135 282 0
e 135 466 0
e 135 447 0
e 135 207 0
e 135 452 0
e 136 536 0
e 139 175 0
e 139 196 0
e 139 486 0
e 139 176 0
e 141 480 0
e 141 207 0
e 141 193 0
e 142 528 0
e 142 285 0
e 142 207 0
e 142 518 0
e 142 498 0
e 143 207 0
e 143 235 0
e 143 403 0
e 145 177 0
e 145 207 0
e 145 437 0
e 145 441 0
e 145 431 0
e 145 283 0
e 145 415 0
e 145 304 0
e 146 207 0
e 146 437 0
e 146 431 0
e 146 441 0
e 146 415 0
e 146 343 0
e 148 178 0
e 149 537 0
e 149 536 0
e 149 447 0
e 149 179 0
e 150 207 0
e 152 207 0
e 152 355 0
e 152 412 0
e 152 248 0
e 152 537 0
e 152 406 0
e 152 429 0
e 154 447 0
e 154 466 0
e 154 197 0
e 154 180 0
e 155 522 0
e 155 207 0
e 155 468 0
e 155 209 0
e 155 213 0
e 157 198 0
e 157 486 0
e 157 181 0
e 158 447 0
e 158 466 0
e 158 199 0
e 158 182 0
e 160 365 0
e 160 207 0
e 160 267 0
e 160 341 0
e 161 207 0
e 161 183 0
e 162 207 0
e 162 486 0
e 163 486 0
e 163 225 0
e 163 207 0
e 164 207 0
e 166 184 0
e 168 185 0
e 168 207 0
e 168 186 0
e 168 214 0
e 168 357 0
e 168 408 0
e 168 200 0
e 168 480 0
e 168 187 0
e 168 222 0
e 168 410 0
e 168 361 0
e 168 188 0
e 169 207 0
e 169 257 0
e 170 207 0
e 170 189 0
e 170 486 0
e 170 519 0
e 170 537 0
e 170 219 0
e 170 386 0
e 170 201 0
e 170 387 0
e 170 190 0
e 170 191 0
e 170 192 0
e 170 466 0
e 170 342 0
e 171 480 0
e 171 207 0
e 171 193 0
e 172 410 0
e 172 361 0
e 172 357 0
e 172 408 0
e 172 440 0
e 172 207 0
e 172 205 0
e 172 194 0
e 172 202 0
e 172 195 0
e 173 207 0
e 174 207 0
e 174 466 0
e 174 477 0
e 174 437 0
e 174 452 0
e 175 486 0
e 175 196 0
e 177 207 0
e 178 416 0
e 178 373 0
e 179 537 0
e 179 409 0
e 179 486 0
e 179 447 0
e 179 359 0
e 179 207 0
e 179 259 0
e 179 290 0
e 179 338 0
e 180 447 0
